uri,transport,verdict,reason,package
bos://memory/kos/search,stdio,OK,module-resolved,kos
bos://memory/kos/ingest,stdio,OK,module-resolved,kos
bos://memory/kos/schema,stdio,OK,module-resolved,kos
bos://memory/kronos/ingest,stdio,OK,module-resolved,kronos
bos://memory/kronos/scan,stdio,OK,module-resolved,kronos
bos://governance/metaos/decide,stdio,OK,module-resolved,metaos
bos://governance/metaos/immune,stdio,OK,module-resolved,metaos
bos://governance/metaos/route,stdio,OK,module-resolved,metaos
bos://governance/omo/state,stdio,OK,module-resolved,omo
bos://governance/omo/debt,stdio,OK,module-resolved,omo
bos://governance/eidos/validate,stdio,OK,module-resolved,eidos
bos://governance/protocols-layer/trigger,stdio,FAIL,top-module-missing,protocols-layer
bos://analysis/minerva/research,stdio,OK,module-resolved,minerva
bos://analysis/minerva/ask,stdio,OK,module-resolved,minerva
bos://analysis/minerva/summarize,stdio,OK,module-resolved,minerva
bos://analysis/ontoderive/derive,stdio,OK,module-resolved,ontoderive
bos://analysis/ontoderive/validate,stdio,OK,module-resolved,ontoderive
bos://analysis/ontoderive/explain,stdio,OK,module-resolved,ontoderive
bos://analysis/codeanalyze/scan,stdio,OK,module-resolved,codeanalyze
bos://analysis/codeanalyze/analyze,stdio,OK,module-resolved,codeanalyze
bos://analysis/codeanalyze/metrics,stdio,OK,module-resolved,codeanalyze
bos://analysis/iris/discover,stdio,OK,module-resolved,iris
bos://analysis/iris/scan,stdio,OK,module-resolved,iris
bos://analysis/iris/recall,stdio,OK,module-resolved,iris
bos://persona/core-models/schema,stdio,FAIL,submodule-missing(top-ok),core-models
bos://persona/core-models/validate,stdio,FAIL,submodule-missing(top-ok),core-models
bos://persona/health-profile/query,stdio,FAIL,submodule-missing(top-ok),health-profile
bos://persona/health-profile/update,stdio,FAIL,submodule-missing(top-ok),health-profile
bos://persona/sot-bridge-persona/recall-entity,internal,OK,module-resolved,sot-bridge-persona
bos://capability/agent-runtime/execute,mcp_stdio,OK,module-resolved,agent-runtime
bos://capability/agent-runtime/list-tools,mcp_stdio,OK,module-resolved,agent-runtime
bos://capability/agent-runtime/status,mcp_stdio,OK,module-resolved,agent-runtime
bos://capability/swarm/run,stdio,OK,module-resolved,swarm
bos://capability/forge/agent-list,stdio,OK,module-resolved,forge
bos://capability/forge/agent-install,stdio,OK,module-resolved,forge
bos://capability/forge/registry,stdio,OK,module-resolved,forge
bos://capability/forge/publish,stdio,OK,module-resolved,forge
bos://capability/forge/lint,stdio,OK,module-resolved,forge
bos://persona/family-hub/health,mcp_stdio,OK,file-found,family-hub
bos://governance/omo/sync,mcp_stdio,OK,module-resolved,omo
bos://governance/cockpit/context,mcp_stdio,OK,module-resolved,cockpit
bos://cockpit/context,mcp_stdio,OK,module-resolved,cockpit
bos://governance/l4-kernel/domains,mcp_stdio,OK,module-resolved,l4-kernel
bos://l4-kernel/domains,mcp_stdio,OK,module-resolved,l4-kernel
bos://capability/runtime/health,mcp_stdio,OK,module-resolved,runtime
bos://runtime/health,mcp_stdio,OK,module-resolved,runtime
bos://analysis/minerva/draft,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,minerva
bos://analysis/minerva/audit,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,minerva
bos://analysis/ontoderive/audit,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,ontoderive
bos://analysis/ontoderive/fact-check,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,ontoderive
bos://analysis/codeanalyze/report,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,codeanalyze
bos://analysis/codeanalyze/lint,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,codeanalyze
bos://analysis/iris/connect,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,iris
bos://analysis/iris/transform,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,iris
bos://analysis/iris/validate,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,iris
bos://persona/health-profile/summary,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,health-profile
bos://persona/health-profile/alert,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,health-profile
bos://capability/forge/discover,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,forge
bos://capability/forge/exec-tool,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,forge
bos://capability/forge/list-tools,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,forge
bos://capability/forge/register-tool,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,forge
bos://memory/kronos/query,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,kronos
bos://memory/kronos/schedule,mcp_stdio,UNIMPLEMENTED,declared-unimplemented,kronos
bos://governance/metaos/gate,mcp_stdio,OK,module-resolved,metaos
bos://governance/metaos/register,mcp_stdio,OK,module-resolved,metaos
